Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,43,56,177698.3346,2500798.295,0.034,353.118,264.626,,,,,,,,,,,
4,43,56.2,177698.3346,2500798.295,0.026,1.645,264.514,,,,,,,,,,,
4,43,56.4,177698.3345,2500798.295,0.004,0,264.609,,,,,,,,,,,
4,43,56.6,177698.3345,2500798.295,0.012,314.004,264.655,,,,,,,,,,,
4,43,56.8,177698.3345,2500798.295,0.013,168.786,264.636,,,,,,,,,,,
4,43,57,177698.3345,2500798.295,0.018,194.123,264.607,,,,,,,,,,,
4,43,57.2,177698.3344,2500798.295,0.025,174.651,264.576,,,,,,,,,,,
4,43,57.4,177698.3344,2500798.296,0.021,190.201,264.594,,,,,,,,,,,
4,43,57.6,177698.3344,2500798.296,0.015,196.762,264.533,,,,,,,,,,,
4,43,57.8,177698.3343,2500798.296,0.018,172.287,264.532,,,,,,,,,,,
4,43,58,177698.3343,2500798.296,0.012,207.26,264.574,,,,,,,,,,,
4,43,58.2,177698.3343,2500798.296,0.01,248.007,264.404,,,,,,,,,,,
4,43,58.4,177698.3343,2500798.296,0.012,278.642,264.43,,,,,,,,,,,
4,43,58.6,177698.3342,2500798.296,0.006,0,264.638,,,,,,,,,,,
4,43,58.8,177698.3342,2500798.296,0.013,319.029,264.6,,,,,,,,,,,
4,43,59,177698.3342,2500798.296,0.006,0,264.472,,,,,,,,,,,
4,43,59.2,177698.3341,2500798.297,0.009,0,264.683,,,,,,,,,,,
4,43,59.4,177698.3341,2500798.297,0.004,0,264.593,,,,,,,,,,,
4,43,59.6,177698.3341,2500798.297,0.013,87.471,264.503,,,,,,,,,,,
4,43,59.8,177698.334,2500798.297,0.007,0,264.605,,,,,,,,,,,
4,44,0,177698.334,2500798.297,0.004,0,264.628,,,,,,,,,,,
4,44,0.2,177698.334,2500798.297,0.012,16.635,264.619,,,,,,,,,,,
4,44,0.4,177698.3339,2500798.297,0.019,352.41,264.452,,,,,,,,,,,
4,44,0.6,177698.3339,2500798.297,0.015,55.895,264.426,,,,,,,,,,,
4,44,0.8,177698.3339,2500798.297,0.009,0,264.535,,,,,,,,,,,
4,44,1,177698.3338,2500798.298,0.004,0,264.478,,,,,,,,,,,
4,44,1.2,177698.3338,2500798.298,0.009,0,264.504,,,,,,,,,,,
4,44,1.4,177698.3338,2500798.298,0.015,202.985,264.712,,,,,,,,,,,
4,44,1.6,177698.3337,2500798.298,0.007,0,264.409,,,,,,,,,,,
4,44,1.8,177698.3337,2500798.298,0.018,160.746,264.685,,,,,,,,,,,
4,44,2,177698.3337,2500798.298,0.019,198.697,264.545,,,,,,,,,,,
4,44,2.2,177698.3337,2500798.298,0.019,155.206,264.615,,,,,,,,,,,
4,44,2.4,177698.3336,2500798.298,0.015,161.73,264.67,,,,,,,,,,,
