Hour,Minute,Second,Lon,Lat
04,44,10.00,177698.333113,2500798.3029654
04,44,10.20,177698.3331137,2500798.303113
04,44,10.40,177698.3330972,2500798.3032423
04,44,10.60,177698.3330978,2500798.3033715
04,44,10.80,177698.3330813,2500798.3035008
04,44,11.00,177698.3330819,2500798.3036299
04,44,11.00,177698.3330819,2500798.3036299
04,44,11.20,177698.3330654,2500798.3037592
04,44,11.40,177698.3330659,2500798.3038699
04,44,11.60,177698.3330665,2500798.3039991
04,44,11.80,177698.33305,2500798.3041284
04,44,12.00,177698.3330505,2500798.3042391
04,44,12.00,177698.3330505,2500798.3042391
04,44,12.20,177698.333051,2500798.3043499
04,44,12.40,177698.3330688,2500798.304479
04,44,12.60,177698.3330693,2500798.3045897
04,44,12.80,177698.333087,2500798.3047004
04,44,13.00,177698.3330875,2500798.3048111
04,44,13.00,177698.3330875,2500798.3048111
04,44,13.20,177698.3331052,2500798.3049402
04,44,13.40,177698.3331058,2500798.3050509
04,44,13.60,177698.3331235,2500798.30518
04,44,13.80,177698.3331412,2500798.3053092
04,44,14.00,177698.3331419,2500798.3054383
04,44,14.00,177698.3331419,2500798.3054383
04,44,14.20,177698.3331596,2500798.3055674
04,44,14.40,177698.3331773,2500798.3056966
04,44,14.60,177698.3332122,2500798.3058256
04,44,14.80,177698.3332301,2500798.3059731
04,44,15.00,177698.3332649,2500798.3061022
04,44,15.00,177698.3332649,2500798.3061022
04,44,15.20,177698.3332828,2500798.3062497
04,44,15.40,177698.3333177,2500798.3063788
04,44,15.60,177698.3333355,2500798.3065263
04,44,15.80,177698.3333704,2500798.3066554
04,44,16.00,177698.3333882,2500798.3068029
04,44,16.00,177698.3333882,2500798.3068029
04,44,16.20,177698.3334231,2500798.3069319
04,44,16.40,177698.3334408,2500798.3070611
04,44,16.60,177698.3334586,2500798.3071902
04,44,16.80,177698.3334934,2500798.3073192
04,44,17.00,177698.3335112,2500798.3074483
04,44,17.00,177698.3335112,2500798.3074483
04,44,17.20,177698.333546,2500798.3075589
04,44,17.40,177698.3335637,2500798.307688
04,44,17.60,177698.3335985,2500798.3077986
04,44,17.80,177698.3336334,2500798.3079276
04,44,18.00,177698.3336511,2500798.3080567
04,44,18.00,177698.3336511,2500798.3080567
04,44,18.20,177698.3336859,2500798.3081673
04,44,18.40,177698.3337036,2500798.3082779
04,44,18.60,177698.3337385,2500798.3084069
04,44,18.80,177698.3337561,2500798.3085176
04,44,19.00,177698.333791,2500798.3086466
04,44,19.00,177698.333791,2500798.3086466
04,44,19.20,177698.3338259,2500798.3087756
